,team_rank,rank_diff,win_rate,Team_Form,Opp_Form,Team_Venue_Form,Opp_Venue_Form,Team_Cumul_GD,Opp_Cumul_GD,win
0,0.125,0.16203703703703703,0.0,0.23076923076923078,0.6666666666666666,0.2857142857142857,0.4666666666666667,0.24999999999999997,0.6341463414634148,1.0
1,0.125,0.08796296296296297,0.5,0.23076923076923078,0.5333333333333333,0.3571428571428571,0.6666666666666666,0.12499999999999999,0.6585365853658537,0.0
2,0.125,0.08333333333333333,0.6666666666666666,0.15384615384615385,0.7333333333333333,0.4285714285714286,0.7333333333333333,0.04166666666666666,0.7560975609756098,1.0
3,0.125,0.12037037037037036,0.4,0.3846153846153847,0.5333333333333333,0.3571428571428571,0.6,0.16666666666666666,0.6097560975609757,0.0
4,0.125,0.19444444444444442,1.0,0.3076923076923077,0.26666666666666666,0.8571428571428571,0.26666666666666666,0.12499999999999999,0.5121951219512195,1.0
5,0.125,0.18055555555555555,0.0,0.5384615384615384,0.6,0.14285714285714285,0.5333333333333333,0.24999999999999997,0.6341463414634148,1.0
6,0.125,0.16203703703703703,0.5,0.5384615384615384,0.4,1.0,0.6,0.29166666666666663,0.5609756097560976,1.0
7,0.125,0.11574074074074073,0.0,0.7692307692307693,0.4666666666666667,1.0,0.6666666666666666,0.41666666666666663,0.5609756097560976,1.0
8,0.125,0.09259259259259259,0.6666666666666666,0.7692307692307693,1.0,0.2857142857142857,1.0,0.41666666666666663,0.853658536585366,1.0
9,0.125,0.06481481481481481,0.0,1.0,0.8,1.0,0.8666666666666667,0.4583333333333333,0.6829268292682927,0.0
10,0.125,0.27314814814814814,0.6666666666666666,0.7692307692307693,0.6,0.4285714285714286,0.4,0.375,0.6097560975609757,0.0
11,0.125,0.11574074074074073,1.0,0.6153846153846154,0.4666666666666667,0.5714285714285714,0.4,0.29166666666666663,0.5365853658536586,1.0
12,0.125,0.3611111111111111,0.5,0.6153846153846154,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.375,0.6097560975609757,1.0
13,0.125,0.13425925925925924,0.5,0.6153846153846154,0.3333333333333333,0.7857142857142857,0.6,0.375,0.5365853658536586,1.0
14,0.25,0.05555555555555555,0.0,0.6153846153846154,0.8666666666666667,1.0,0.8,0.41666666666666663,0.7073170731707318,0.0
15,0.25,0.11574074074074073,1.0,0.6153846153846154,0.6,0.4285714285714286,0.8666666666666667,0.41666666666666663,0.6341463414634148,1.0
16,0.25,0.49537037037037035,1.0,0.7692307692307693,0.26666666666666666,0.7857142857142857,0.26666666666666666,0.49999999999999994,0.2682926829268293,1.0
17,0.25,0.20833333333333331,0.0,0.7692307692307693,0.8666666666666667,0.7857142857142857,0.8,0.5416666666666666,0.7073170731707318,1.0
18,0.25,0.31481481481481477,0.6666666666666666,0.7692307692307693,0.4666666666666667,0.6428571428571428,0.5333333333333333,0.49999999999999994,0.5121951219512195,1.0
19,0.25,0.49537037037037035,1.0,0.7692307692307693,0.2,0.8571428571428571,0.2,0.49999999999999994,0.41463414634146345,0.0
20,0.25,0.21296296296296297,0.0,0.8461538461538461,0.4666666666666667,0.7857142857142857,0.4,0.5416666666666666,0.5609756097560976,1.0
21,0.25,0.35185185185185186,0.5,0.8461538461538461,0.2,0.7857142857142857,0.3333333333333333,0.49999999999999994,0.41463414634146345,1.0
22,0.25,0.2037037037037037,0.0,0.8461538461538461,0.6666666666666666,0.7142857142857143,0.8,0.375,0.6585365853658537,0.0
23,0.6875,0.06018518518518518,0.5,0.6923076923076924,1.0,0.7857142857142857,0.13333333333333333,0.3333333333333333,0.7560975609756098,1.0
24,0.6875,0.046296296296296294,0.6,0.6923076923076924,0.6,0.5714285714285714,0.5333333333333333,0.3333333333333333,0.7073170731707318,1.0
25,0.6875,0.14351851851851852,1.0,0.8461538461538461,0.4666666666666667,1.0,0.26666666666666666,0.375,0.6097560975609757,0.0
26,0.6875,0.08333333333333333,0.0,0.6923076923076924,0.5333333333333333,0.7142857142857143,0.8,0.3333333333333333,0.6097560975609757,0.0
27,0.6875,0.15740740740740738,0.0,0.46153846153846156,0.4666666666666667,0.7857142857142857,0.6666666666666666,0.24999999999999997,0.6097560975609757,1.0
28,0.6875,0.16203703703703703,0.0,0.6153846153846154,0.5333333333333333,0.7857142857142857,0.6666666666666666,0.3333333333333333,0.6341463414634148,0.0
29,0.6875,0.05092592592592592,0.5,0.3846153846153847,1.0,0.5714285714285714,1.0,0.24999999999999997,0.6829268292682927,0.0
30,0.6875,0.10648148148148148,0.0,0.23076923076923078,0.5333333333333333,0.5,0.5333333333333333,0.20833333333333331,0.6097560975609757,0.0
